,Unnamed: 0,Make,Model,Variant,Cylinders,Doors,Seating_Capacity,Gears,Ex-Showroom_Price,Fuel_Type,Drivetrain,Displacement,City_Mileage,Kerb_Weight,Cylinder_Configuration,Doors.1,Body_Type,Emission_Norm,Fuel_System,Fuel_Tank_Capacity,Height,Length,Width,Front_Brakes,Rear_Brakes,Power_Steering,Power,Torque,Odometer,Speedometer,Type,Wheelbase,Handbrake,Launch_Date
322,322,,Mercedes-Benz S-Class,S 350 D,6.0,4.0,5.0,7,"Rs. 1,35,58,438",Diesel,RWD (Rear Wheel Drive),2987 cc,9 km/litre,2132 kg,V,4.0,Sedan,BS IV,Injection,90 litres,1494 mm,5116 mm,1899 mm,Ventilated Disc,Ventilated Disc,Electric Power,258PS@3600rpm,620Nm@1600-2400rpm,Digital,Analog,Automatic,3035 mm,Automatic,2020-11-06
323,323,,Mercedes-Benz S-Class,S 450,6.0,4.0,5.0,7,"Rs. 1,39,76,653",Petrol,RWD (Rear Wheel Drive),2996 cc,5.4 km/litre,2113 kg,V,4.0,Sedan,BS IV,Injection,70 litres,1494 mm,5246 mm,1899 mm,Ventilated Disc,Ventilated Disc,Electro-Hydraulic,333PS@6000RPM,480Nm@1600-4000RPM,Digital,Analog,Automatic,3165 mm,Automatic,2021-10-08
324,324,,Mercedes-Benz S-Class,Amg S 63 Coupe,8.0,2.0,4.0,7,"Rs. 2,55,00,000",Petrol,AWD (All Wheel Drive),3982 cc,5.4 km/litre,2080 kg,V,2.0,Coupe,BS IV,Injection,80 litres,1411 mm,5027 mm,1899 mm,Ventilated Disc,Ventilated Disc,Electric Power,450PS@5500-6000RPM,900Nm@2750-4500rpm,Digital,Analog,Automatic,2945 mm,Automatic,2021-09-02
325,325,Maserati,Levante,Diesel,6.0,4.0,4.0,6,"Rs. 1,45,12,054",Diesel,AWD (All Wheel Drive),2987 cc,5.2 km/litre,,V,4.0,SUV,BS IV,Injection,80 litres,1679 mm,5003 mm,2158 mm,Ventilated Disc,Ventilated Disc,Electro-Hydraulic,275PS@4000rpm,600Nm@2000-2600rpm,Digital,Analog,Automatic,3004 mm,Automatic,2022-02-02
326,326,Maserati,Levante,Gransport,6.0,5.0,4.0,6,"Rs. 1,48,63,774",Diesel,AWD (All Wheel Drive),2979 cc,5.2 km/litre,,V,5.0,SUV,BS IV,Injection,80 litres,1679 mm,5003 mm,2158 mm,Ventilated Disc,Ventilated Disc,Electro-Hydraulic,350PS@5750rpm,500Nm@4500-5000rpm,Digital,Analog,Automatic,3004 mm,Automatic,2020-12-06
327,327,Maserati,Levante,Granlusson,6.0,5.0,4.0,6,"Rs. 1,53,83,399",Diesel,AWD (All Wheel Drive),2979 cc,5.2 km/litre,,V,5.0,SUV,BS IV,Injection,80 litres,1679 mm,5003 mm,2158 mm,Ventilated Disc,Ventilated Disc,Electro-Hydraulic,430PS@5750rpm,580Nm@4500-5000rpm,Digital,Analog,Automatic,3004 mm,Automatic,2020-02-17
328,328,,Mercedes-Benz G-Class,Amg G 63,8.0,5.0,7.0,9,"Rs. 2,18,75,136",Petrol,AWD (All Wheel Drive),3982 cc,,2560 kg,V,5.0,SUV,BS 6,Injection,96 litres,1938 mm,4763 mm,1855 mm,Ventilated Disc,Ventilated Disc,Electric Power,585hp@6000rpm,850Nm@2500-3500rpm,Digital,Analog,Automatic,2850 mm,Automatic,2021-09-20
329,329,,Mercedes-Benz G-Class,G 350D,6.0,5.0,7.0,9,"Rs. 1,50,00,000",Diesel,AWD (All Wheel Drive),2925 cc,,2453 kg,V,5.0,SUV,BS 6,Injection,100 litres,1969 mm,4817 mm,1931 mm,Ventilated Disc,Ventilated Disc,Electric Power,289PS@1200rpm,600Nm@2500rpm,Digital,Analog,Automatic,2890 mm,Automatic,2020-01-24
330,330,Audi,A8 L,55 Tfsi Quattro,8.0,4.0,4.0,8,"Rs. 1,56,00,000",Petrol,AWD (All Wheel Drive),2995 cc,,2030 kg,V,4.0,Sedan,BS 6,Injection,82 litres,1485 mm,5302 mm,1945 mm,Ventilated Disc,Ventilated Disc,Electro-Hydraulic,340PS@5000rpm,500Nm@1370rpm,Digital,"Analog, Digital",Automatic,3128 mm,Automatic,2021-02-07
331,331,Maserati,Granturismo,Sport,8.0,2.0,4.0,6,"Rs. 1,72,29,579",Petrol,RWD (Rear Wheel Drive),4691 cc,4.6 km/litre,1880 kg,V,2.0,Coupe,BS IV,Injection,86 litres,1353 mm,4881 mm,1915 mm,Ventilated Disc,Ventilated Disc,Electro-Hydraulic,460PS@7000RPM,520NM@4750rpm,Digital,Analog,Automatic,2942 mm,Automatic,2021-06-10
332,332,Maserati,Quattroporte,Granlusso,6.0,4.0,4.0,6,"Rs. 1,79,00,000",Diesel,RWD (Rear Wheel Drive),2987 cc,5.2 km/litre,1925 kg,V,4.0,Sports,BS 6,Injection,70 litres,1481 mm,5262 mm,1948 mm,Ventilated Disc,Ventilated Disc,Electro-Hydraulic,275PS@7000rpm,600Nm@2000-2600rpm,Digital,Analog,Automatic,3171 mm,Automatic,2020-09-06
333,333,Lexus,Lc 500H,Coupe,6.0,2.0,4.0,,"Rs. 1,96,00,000",Hybrid,AWD (All Wheel Drive),3456 cc,,1985 kg,V,2.0,Coupe,BS IV,Injection,82 litres,1345 mm,4770 mm,1920 mm,Ventilated Disc,Ventilated Disc,Electric Power,299PS@6600rpm,350Nm@5100rpm,Digital,Digital,Automatic,2870 mm,Automatic,2021-03-15
334,334,,Mercedes-Benz Maybach,S650,12.0,4.0,4.0,7,"Rs. 2,73,08,312",Petrol,AWD (All Wheel Drive),5980 cc,,2200 kg,V,4.0,Sedan,BS IV,Injection,80 litres,1498 mm,5453 mm,1899 mm,Ventilated Disc,Ventilated Disc,Electro-Hydraulic,630PS@4800RPM,1000Nm@2300-4300rpm,Digital,Analog,Automatic,3365 mm,Automatic,2021-07-23
335,335,,Mercedes-Benz Maybach,S560,8.0,4.0,4.0,9,"Rs. 1,98,90,000",Petrol,AWD (All Wheel Drive),4663 cc,7.81 km/litre,2200 kg,V,4.0,Sedan,BS IV,Injection,80 litres,1494 mm,5246 mm,1899 mm,Ventilated Disc,Drum,Electro-Hydraulic,453PS@5500RPM,700Nm@1800-3500RPM,Digital,Analog,Automatic,3165 mm,Automatic,2020-11-03
336,336,Porsche,Panamera,Turbo,8.0,4.0,4.0,7,"Rs. 2,12,63,000",Petrol,AWD (All Wheel Drive),3996 cc,7.1 km/litre,2045 kg,V,4.0,Sedan,BS IV,Injection,90 litres,1427 mm,5049 mm,1937 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,550PS@6000RPM,770Nm@1960 - 4500rpm,Digital,Analog,Automatic,2950 mm,Automatic,2020-11-17
337,337,Porsche,Panamera,Turbo Executive,8.0,4.0,4.0,7,"Rs. 2,26,13,000",Petrol,AWD (All Wheel Drive),3996 cc,7.1 km/litre,,V,4.0,Sedan,BS IV,Injection,90 litres,1432 mm,5199 mm,1937 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,550PS@6000RPM,770Nm@1960 - 4500rpm,Digital,Analog,Automatic,3100 mm,Automatic,2020-01-18
338,338,Porsche,Panamera,Turbo Sport Turismo,8.0,4.0,4.0,7,"Rs. 2,17,47,000",Petrol,AWD (All Wheel Drive),3996 cc,7.1 km/litre,,V,4.0,Sedan,BS IV,Injection,90 litres,1432 mm,5049 mm,1937 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,550PS@6000RPM,770Nm@1960 - 4500rpm,Digital,Analog,Automatic,2950 mm,Automatic,2020-04-12
